date,account_value
2021-06-03,1293437.9260455705
2021-06-04,1300676.5518233874
2021-06-07,1291122.449459801
2021-06-08,1293562.732668381
2021-06-09,1282971.7287487031
2021-06-10,1270873.2311888507
2021-06-11,1270138.008448067
2021-06-14,1270373.4971519473
2021-06-15,1269435.2915376665
2021-06-16,1262823.0614790346
2021-06-17,1250314.6643008043
2021-06-18,1228363.7113470843
2021-06-21,1252209.6199858095
2021-06-22,1255926.447240906
2021-06-23,1251862.4135859683
2021-06-24,1258341.4239803317
2021-06-25,1260262.9796067814
2021-06-28,1257371.8746210483
2021-06-29,1262697.1554114535
2021-06-30,1264700.2457602313
2021-07-01,1271453.6234868243
2021-07-02,1283119.508995247
2021-07-06,1287301.810907326
2021-07-07,1295715.6168201067
2021-07-08,1283639.3271991352
2021-07-09,1296076.9157744602
2021-07-12,1292548.8888530734
2021-07-13,1298722.9195095066
2021-07-14,1311391.5988797762
2021-07-15,1306835.276069031
2021-07-16,1298676.8905454257
2021-07-19,1272860.4000619892
2021-07-20,1292386.8786732866
2021-07-21,1295974.7937515643
2021-07-22,1306832.482492104
2021-07-23,1320892.3173884586
2021-07-26,1321704.6745269778
2021-07-27,1312037.4133020022
2021-07-28,1301591.3846559147
2021-07-29,1306196.2093467715
2021-07-30,1304964.198031502
2021-08-02,1298582.2856644061
2021-08-03,1307543.5417782215
2021-08-04,1304171.9616810994
2021-08-05,1313084.4405757526
2021-08-06,1311060.49301075
2021-08-09,1307812.6595002369
2021-08-10,1302930.868368645
2021-08-11,1303498.921752129
2021-08-12,1316178.671773644
2021-08-13,1319550.0508741383
2021-08-16,1326273.631533394
2021-08-17,1315348.4790671924
2021-08-18,1298445.2463804248
2021-08-19,1305139.915899735
2021-08-20,1319288.6783321383
2021-08-23,1329034.0723398211
2021-08-24,1329160.3281078723
2021-08-25,1325695.578231621
2021-08-26,1323968.8976865772
2021-08-27,1327641.1204931263
2021-08-30,1342944.0362569813
2021-08-31,1335428.4852880482
2021-09-01,1340385.557923241
2021-09-02,1342412.885232735
2021-09-03,1345652.138363381
2021-09-07,1347441.06164547
2021-09-08,1338002.90901516
2021-09-09,1332238.580623093
2021-09-10,1308911.8635342412
2021-09-13,1308407.7997646716
2021-09-14,1301672.8583120732
2021-09-15,1306483.2893126681
2021-09-16,1307023.3291452792
2021-09-17,1293460.3349468617
2021-09-20,1271125.2415066152
2021-09-21,1271715.9497315602
2021-09-22,1284994.6482579808
2021-09-23,1308816.104909592
2021-09-24,1313970.7105274205
2021-09-27,1298954.7790469364
2021-09-28,1271270.6648814396
2021-09-29,1274308.9123369984
2021-09-30,1261859.7960178761
2021-10-01,1276374.1132236484
2021-10-04,1255810.7207112508
2021-10-05,1268251.4376214223
2021-10-06,1273108.5483296209
2021-10-07,1282869.149333878
2021-10-08,1280450.890558701
2021-10-11,1279050.078510285
2021-10-12,1277467.8845348363
2021-10-13,1275762.8258113102
2021-10-14,1298732.8796366886
2021-10-15,1307806.5333269506
2021-10-18,1314435.225557938
2021-10-19,1326198.3110965732
2021-10-20,1329547.3176483922
2021-10-21,1325648.373891602
2021-10-22,1331824.916236878
2021-10-25,1330229.0330854421
2021-10-26,1334721.771809197
2021-10-27,1329885.6645438771
2021-10-28,1347663.3949726492
2021-10-29,1337983.1361454397
2021-11-01,1337232.7831904988
2021-11-02,1344538.8674037557
2021-11-03,1350588.1979015737
2021-11-04,1352262.5241146474
2021-11-05,1355183.3938817983
2021-11-08,1356109.6557308203
2021-11-09,1358664.6548435215
2021-11-10,1338072.010571671
2021-11-11,1338332.7710384373
2021-11-12,1351239.5950258642
2021-11-15,1352738.215073319
2021-11-16,1357827.8735826497
2021-11-17,1365731.805462151
2021-11-18,1370046.818732987
2021-11-19,1374025.6671352773
2021-11-22,1374580.0125140767
2021-11-23,1373673.5241497427
2021-11-24,1374878.1438016896
2021-11-26,1336029.849547463
2021-11-29,1365624.2201297001
2021-11-30,1367642.8975804143
2021-12-01,1329492.3727479558
2021-12-02,1341702.9786965947
2021-12-03,1330818.295836106
2021-12-06,1351820.8519727332
2021-12-07,1388763.202223664
2021-12-08,1402191.5947102362
2021-12-09,1399967.711119538
2021-12-10,1428259.8502491766
2021-12-13,1406349.1709278875
2021-12-14,1390638.6175679022
2021-12-15,1420075.6329487616
2021-12-16,1385782.7317951971
2021-12-17,1374243.2795857245
2021-12-20,1362931.5557240301
2021-12-21,1387966.9960926825
2021-12-22,1402178.073668366
2021-12-23,1407705.1952503973
2021-12-27,1435768.6496113592
2021-12-28,1429443.4046315008
2021-12-29,1431679.7823475653
2021-12-30,1424599.2440174872
2021-12-31,1421352.0005177313
2022-01-03,1440408.243880158
2022-01-04,1425403.9547871405
2022-01-05,1387005.0551747137
2022-01-06,1377229.700331574
2022-01-07,1374593.3594654852
2022-01-10,1372335.5931233221
2022-01-11,1389875.573820954
2022-01-12,1393710.1587055975
2022-01-13,1369793.4315632635
2022-01-14,1372946.5668629461
2022-01-18,1350075.0999592596
2022-01-19,1331901.2971638495
2022-01-20,1317362.1549366766
2022-01-21,1302151.3276814276
2022-01-24,1304996.2957142645
2022-01-25,1291852.3338459784
2022-01-26,1286446.8743275458
2022-01-27,1286377.6341389471
2022-01-28,1343624.0607594305
2022-01-31,1372453.5044239813
2022-02-01,1373268.8811634833
2022-02-02,1379164.0501545721
